formatted_cust_id,cust_numeric_suffix,cust_id_length,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure,tenure_numeric,snapshot_month,balance_tier,account_status_desc,purchase_rank
CUST_10001,10001,6,40.900749,0.81818,95.40,0.00,95.40,0.00,0.16667,0.00000,0.08333,0.00000,0,2,1000.00,201.80,139.51,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5389
CUST_10002,10002,6,3202.467416,0.90909,0.00,0.00,0.00,6442.95,0.00000,0.00000,0.00000,0.25000,4,0,7000.00,4103.03,1072.34,0.22222,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10003,10003,6,2495.148862,1.00000,773.17,773.17,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,12,7500.00,622.07,627.28,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,2690
CUST_10004,10004,6,1666.670542,0.63636,1499.00,1499.00,0.00,205.79,0.08333,0.08333,0.00000,0.08333,1,1,7500.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,1570
CUST_10005,10005,6,817.714335,1.00000,16.00,16.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,1200.00,678.33,244.79,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5940
CUST_10006,10006,6,1809.828751,1.00000,1333.28,0.00,1333.28,0.00,0.66667,0.00000,0.58333,0.00000,0,8,1800.00,1400.06,2407.25,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,1758
CUST_10007,10007,6,627.260806,1.00000,7091.01,6402.63,688.38,0.00,1.00000,1.00000,1.00000,0.00000,0,64,13500.00,6354.31,198.07,1.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,142
CUST_10008,10008,6,1823.652743,1.00000,436.20,0.00,436.20,0.00,1.00000,0.00000,1.00000,0.00000,0,12,2300.00,679.07,532.03,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3660
CUST_10009,10009,6,1014.926473,1.00000,861.49,661.49,200.00,0.00,0.33333,0.08333,0.25000,0.00000,0,5,7000.00,688.28,311.96,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,2499
CUST_10010,10010,6,152.225975,0.54546,1281.60,1281.60,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,3,11000.00,1164.77,100.30,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1826
CUST_10011,10011,6,1293.124939,1.00000,920.12,0.00,920.12,0.00,1.00000,0.00000,1.00000,0.00000,0,12,1200.00,1083.30,2172.70,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,2389
CUST_10012,10012,6,630.794744,0.81818,1492.18,1492.18,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,6,2000.00,705.62,155.55,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1580
CUST_10013,10013,6,1516.928620,1.00000,3217.99,2500.23,717.76,0.00,1.00000,0.25000,0.91667,0.00000,0,26,3000.00,608.26,490.21,0.25000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,603
CUST_10014,10014,6,921.693369,1.00000,2137.93,419.96,1717.97,0.00,0.75000,0.16667,0.75000,0.00000,0,26,7500.00,1655.89,251.14,0.08333,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1065
CUST_10015,10015,6,2772.772734,1.00000,0.00,0.00,0.00,346.81,0.00000,0.00000,0.00000,0.08333,1,0,3000.00,805.65,989.96,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10016,10016,6,6886.213231,1.00000,1611.70,0.00,1611.70,2301.49,0.50000,0.00000,0.50000,0.16667,4,11,8000.00,1993.44,2109.91,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,1466
CUST_10017,10017,6,2072.074354,0.87500,0.00,0.00,0.00,2784.27,0.00000,0.00000,0.00000,0.25000,3,0,3000.00,391.97,376.58,0.00000,8,8,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,135
CUST_10018,10018,6,41.089489,0.45455,519.00,0.00,519.00,0.00,0.41667,0.00000,0.33333,0.00000,0,8,2500.00,254.59,73.20,0.25000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,3355
