CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.900749,0.81818,95.40,0.00,95.40,0.00,0.16667,0.00000,0.08333,0.00000,0,2,1000.00,201.80,139.51,0.00000,12
C10002,3202.467416,0.90909,0.00,0.00,0.00,6442.95,0.00000,0.00000,0.00000,0.25000,4,0,7000.00,4103.03,1072.34,0.22222,12
C10003,2495.148862,1.00000,773.17,773.17,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,12,7500.00,622.07,627.28,0.00000,12
C10004,1666.670542,0.63636,1499.00,1499.00,0.00,205.79,0.08333,0.08333,0.00000,0.08333,1,1,7500.00,0.00,,0.00000,12
C10005,817.714335,1.00000,16.00,16.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,1200.00,678.33,244.79,0.00000,12
C10006,1809.828751,1.00000,1333.28,0.00,1333.28,0.00,0.66667,0.00000,0.58333,0.00000,0,8,1800.00,1400.06,2407.25,0.00000,12
C10007,627.260806,1.00000,7091.01,6402.63,688.38,0.00,1.00000,1.00000,1.00000,0.00000,0,64,13500.00,6354.31,198.07,1.00000,12
C10008,1823.652743,1.00000,436.20,0.00,436.20,0.00,1.00000,0.00000,1.00000,0.00000,0,12,2300.00,679.07,532.03,0.00000,12
C10009,1014.926473,1.00000,861.49,661.49,200.00,0.00,0.33333,0.08333,0.25000,0.00000,0,5,7000.00,688.28,311.96,0.00000,12
C10010,152.225975,0.54546,1281.60,1281.60,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,3,11000.00,1164.77,100.30,0.00000,12
C10011,1293.124939,1.00000,920.12,0.00,920.12,0.00,1.00000,0.00000,1.00000,0.00000,0,12,1200.00,1083.30,2172.70,0.00000,12
C10012,630.794744,0.81818,1492.18,1492.18,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,6,2000.00,705.62,155.55,0.00000,12
C10013,1516.928620,1.00000,3217.99,2500.23,717.76,0.00,1.00000,0.25000,0.91667,0.00000,0,26,3000.00,608.26,490.21,0.25000,12
C10014,921.693369,1.00000,2137.93,419.96,1717.97,0.00,0.75000,0.16667,0.75000,0.00000,0,26,7500.00,1655.89,251.14,0.08333,12
C10015,2772.772734,1.00000,0.00,0.00,0.00,346.81,0.00000,0.00000,0.00000,0.08333,1,0,3000.00,805.65,989.96,0.00000,12
C10016,6886.213231,1.00000,1611.70,0.00,1611.70,2301.49,0.50000,0.00000,0.50000,0.16667,4,11,8000.00,1993.44,2109.91,0.00000,12
C10017,2072.074354,0.87500,0.00,0.00,0.00,2784.27,0.00000,0.00000,0.00000,0.25000,3,0,3000.00,391.97,376.58,0.00000,8
C10018,41.089489,0.45455,519.00,0.00,519.00,0.00,0.41667,0.00000,0.33333,0.00000,0,8,2500.00,254.59,73.20,0.25000,12
C10019,1989.072228,1.00000,504.35,166.00,338.35,0.00,0.66667,0.08333,0.58333,0.00000,0,9,13000.00,1720.84,744.61,0.00000,12
C10020,3577.970933,1.00000,398.64,0.00,398.64,0.00,1.00000,0.00000,1.00000,0.00000,0,12,4000.00,1053.98,12465.55,0.00000,12
C10021,2016.684686,1.00000,176.68,0.00,176.68,0.00,0.66667,0.00000,0.66667,0.00000,0,8,2000.00,223.07,13557.30,0.00000,12
C10022,6369.531318,1.00000,6359.95,5910.04,449.91,229.03,1.00000,0.91667,1.00000,0.33333,6,92,11250.00,2077.96,1659.78,0.00000,12
C10023,132.342240,0.63636,815.90,0.00,815.90,0.00,1.00000,0.00000,1.00000,0.00000,0,17,1800.00,2359.63,86.33,0.00000,12
C10024,3800.151377,0.81818,4248.35,3454.56,793.79,7974.42,1.00000,0.08333,0.91667,0.33333,13,13,9000.00,9479.04,1425.43,0.00000,12
